step,input,v,v_th_eff,spike
181,1.3,1.22498,1.58019,0
182,1.3,1.22864,1.57826,0
183,1.3,1.23212,1.57633,0
184,1.3,1.23543,1.57441,0
185,1.3,1.23858,1.5725,0
186,1.3,1.24157,1.5706,0
187,1.3,1.24442,1.5687,0
188,1.3,1.24713,1.56681,0
189,1.3,1.24971,1.56492,0
190,1.3,1.25216,1.56304,0
191,1.3,1.2545,1.56117,0
192,1.3,1.25672,1.5593,0
193,1.3,1.25883,1.55744,0
194,1.3,1.26083,1.55558,0
195,1.3,1.26274,1.55373,0
196,1.3,1.26456,1.55189,0
197,1.3,1.26629,1.55005,0
198,1.3,1.26793,1.54822,0
199,1.3,1.2695,1.5464,0
200,1.3,1.27099,1.54458,0
201,1.3,1.2724,1.54277,0
202,1.3,1.27375,1.54096,0
203,1.3,1.27503,1.53916,0
204,1.3,1.27624,1.53737,0
205,1.3,1.2774,1.53558,0
206,1.3,1.27851,1.5338,0
207,1.3,1.27955,1.53202,0
208,1.3,1.28055,1.53025,0
209,1.3,1.2815,1.52849,0
210,1.3,1.2824,1.52673,0
211,1.3,1.28326,1.52497,0
212,1.3,1.28408,1.52323,0
213,1.3,1.28485,1.52149,0
214,1.3,1.28559,1.51975,0
215,1.3,1.28629,1.51802,0
216,1.3,1.28696,1.5163,0
217,1.3,1.2876,1.51458,0
218,1.3,1.2882,1.51287,0
219,1.3,1.28878,1.51116,0
220,1.3,1.28933,1.50946,0
221,1.3,1.28985,1.50776,0
222,1.3,1.29034,1.50607,0
223,1.3,1.29081,1.50439,0
224,1.3,1.29126,1.50271,0
225,1.3,1.29169,1.50104,0
226,1.3,1.29209,1.49937,0
227,1.3,1.29248,1.49771,0
228,1.3,1.29285,1.49605,0
229,1.3,1.29319,1.4944,0
230,1.3,1.29353,1.49276,0
231,1.3,1.29384,1.49112,0
232,1.3,1.29414,1.48948,0
233,1.3,1.29443,1.48785,0
234,1.3,1.2947,1.48623,0
235,1.3,1.29496,1.48461,0
236,1.3,1.2952,1.483,0
237,1.3,1.29544,1.48139,0
238,1.3,1.29566,1.47979,0
239,1.3,1.29587,1.47819,0
240,1.3,1.29607,1.4766,0
241,1.3,1.29626,1.47502,0
242,1.3,1.29645,1.47344,0
243,1.3,1.29662,1.47186,0
244,1.3,1.29679,1.47029,0
245,1.3,1.29694,1.46873,0
246,1.3,1.29709,1.46717,0
247,1.3,1.29723,1.46561,0
248,1.3,1.29737,1.46406,0
249,1.3,1.2975,1.46252,0
250,1.3,1.29762,1.46098,0
251,1.3,1.29773,1.45944,0
252,1.3,1.29784,1.45791,0
253,1.3,1.29795,1.45639,0
254,1.3,1.29805,1.45487,0
255,1.3,1.29815,1.45336,0
256,1.3,1.29824,1.45185,0
257,1.3,1.29832,1.45035,0
258,1.3,1.2984,1.44885,0
259,1.3,1.29848,1.44735,0
260,1.3,1.29856,1.44587,0
261,1.3,1.29863,1.44438,0
262,1.3,1.29869,1.4429,0
263,1.3,1.29876,1.44143,0
264,1.3,1.29882,1.43996,0
265,1.3,1.29888,1.4385,0
266,1.3,1.29893,1.43704,0
267,1.3,1.29898,1.43558,0
268,1.3,1.29903,1.43413,0
269,1.3,1.29908,1.43269,0
270,1.3,1.29912,1.43125,0
271,1.3,1.29917,1.42981,0
272,1.3,1.29921,1.42838,0
273,1.3,1.29925,1.42696,0
274,1.3,1.29928,1.42554,0
275,1.3,1.29932,1.42412,0
276,1.3,1.29935,1.42271,0
277,1.3,1.29938,1.4213,0
278,1.3,1.29941,1.4199,0
279,1.3,1.29944,1.4185,0
280,1.3,1.29947,1.41711,0
281,1.3,1.29949,1.41572,0
282,1.3,1.29952,1.41434,0
283,1.3,1.29954,1.41296,0
284,1.3,1.29956,1.41159,0
285,1.3,1.29959,1.41022,0
286,1.3,1.29961,1.40885,0
287,1.3,1.29963,1.40749,0
288,1.3,1.29964,1.40613,0
289,1.3,1.29966,1.40478,0
290,1.3,1.29968,1.40344,0
291,1.3,1.29969,1.40209,0
292,1.3,1.29971,1.40075,0
293,1.3,1.29972,1.39942,0
294,1.3,1.29974,1.39809,0
295,1.3,1.29975,1.39677,0
296,1.3,1.29976,1.39545,0
297,1.3,1.29977,1.39413,0
298,1.3,1.29978,1.39282,0
299,1.3,1.29979,1.39151,0
300,1.3,1.2998,1.39021,0
301,1.3,1.29981,1.38891,0
302,1.3,1.29982,1.38762,0
303,1.3,1.29983,1.38633,0
304,1.3,1.29984,1.38504,0
305,1.3,1.29985,1.38376,0
306,1.3,1.29985,1.38248,0
307,1.3,1.29986,1.38121,0
308,1.3,1.29987,1.37994,0
309,1.3,1.29988,1.37868,0
310,1.3,1.29988,1.37742,0
311,1.3,1.29989,1.37616,0
312,1.3,1.29989,1.37491,0
313,1.3,1.2999,1.37366,0
314,1.3,1.2999,1.37242,0
315,1.3,1.29991,1.37118,0
